id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,OMP,RT_I
202,1024,2048,1,inf,1,256,32,32,False,False,True,True,False,6,1,1,inf,inf,inf,1,1,False,7,True,1
203,64,256,2048,inf,1,64,128,16,False,True,False,False,True,14,8,1,inf,inf,inf,20,15,False,1,True,1
204,2048,128,1024,0.5927616684468224,1,256,64,16,True,True,False,False,True,24,1,35,0.5984984458388918,0.008658126633211983,0.5956300571428571,28,1,True,15,False,32
205,2048,128,128,inf,8,16,32,128,True,True,False,False,True,26,1,1,inf,inf,inf,6,17,False,1,True,8
206,64,128,1024,0.3196491909668459,1,256,16,16,False,True,False,True,True,11,1,35,0.32289903760458266,0.0049047717568648135,0.3212741142857143,1,17,True,9,False,8
207,1024,1,128,inf,1,64,64,128,True,False,False,True,True,25,32,1,inf,inf,inf,1,14,False,3,True,1
208,1024,2048,1,0.9470513407345315,1,16,256,16,True,False,False,False,True,15,8,35,0.9482293449797542,0.0017778814188780462,0.9476403428571428,29,20,True,1,False,1
209,2048,64,512,inf,1,1,32,128,False,False,False,True,False,5,32,1,inf,inf,inf,1,27,False,4,False,1
210,1,64,128,0.9198063041907687,32,16,16,16,True,False,True,False,False,10,1,35,0.92121232438066,0.002122010324081907,0.9205093142857144,13,1,True,23,False,1
211,1,128,2048,inf,1,128,16,1,False,True,True,False,True,30,8,1,inf,inf,inf,30,15,False,1,True,1
212,512,1,2048,0.7203130342008282,8,128,256,16,True,True,False,True,False,8,1,35,0.7214372515134575,0.0016967044720003995,0.7208751428571428,14,8,True,1,False,1
213,1,128,2048,inf,1,256,64,32,False,False,False,True,False,12,32,1,inf,inf,inf,7,18,False,1,False,1
214,256,512,1,0.84909813030957,8,64,64,64,True,False,False,True,True,3,8,35,0.8585144411190014,0.014211395324218664,0.8538062857142857,4,1,True,29,False,1
215,128,1024,2048,inf,8,512,16,64,False,False,False,True,True,10,8,1,inf,inf,inf,1,15,False,17,True,1
216,512,128,512,0.5514851386613654,32,32,1,64,True,True,False,False,False,1,1,35,0.5542057756243491,0.00410607170866934,0.5528454571428573,1,20,True,20,False,1
217,1024,1,512,0.4818357906960947,1,256,16,1,True,True,True,True,False,21,1,35,0.502167809303905,0.03068572820318918,0.4920017999999999,30,1,True,25,False,32
218,512,512,128,inf,1,32,16,16,True,True,False,False,False,18,1,1,inf,inf,inf,1,18,False,23,True,1
219,1,1024,1024,0.711608532108745,8,64,16,64,True,False,True,True,False,7,1,35,0.7137024964626838,0.003160277504735744,0.7126555142857144,18,1,True,11,False,1
220,2048,2048,64,0.2516975815824776,8,16,32,128,False,False,True,True,False,23,1,35,0.2525591612746652,0.0013003234341768131,0.2521283714285714,1,14,True,10,False,8
221,512,1,2048,inf,1,64,64,512,False,False,True,True,True,17,8,1,inf,inf,inf,13,2,False,1,True,1
222,512,2048,1,0.2642977167278399,8,256,32,16,True,True,True,False,False,29,1,35,0.27105359755787434,0.010196189907279388,0.2676756571428571,1,14,True,26,False,8
223,1,256,1,inf,8,512,64,16,True,True,False,False,True,29,1,1,inf,inf,inf,17,10,False,1,True,8
224,2048,128,2048,0.8131304144747313,1,16,64,512,False,True,False,True,True,11,1,35,0.8156679855252686,0.003829782819653662,0.8143992,19,1,True,27,False,1
225,128,1,1,0.2637464439242088,1,512,16,1,True,True,True,False,True,30,8,35,0.2649805275043626,0.0018625181321675894,0.2643634857142857,9,1,True,27,False,8
226,256,512,512,0.26481581836105045,1,512,1,32,False,True,True,False,True,8,1,35,0.2658842387818066,0.0016124940307435769,0.26535002857142853,1,30,True,23,False,8
227,256,1024,128,0.3091901762360131,8,16,256,128,True,False,True,False,True,23,8,35,0.3107259951925584,0.002317906744967833,0.30995808571428574,1,16,True,2,False,1
228,64,1024,256,inf,32,256,32,64,False,False,False,False,True,6,1,1,inf,inf,inf,25,7,False,1,False,1
229,128,2048,2048,0.3423988735765606,1,32,64,16,False,False,True,True,False,16,1,35,0.3478384407091536,0.008209567470572221,0.3451186571428571,1,25,True,11,False,8
230,128,1,1,0.6741996739128593,1,128,64,64,False,False,True,True,False,29,8,35,0.6760609546585694,0.0028091040134475896,0.6751303142857144,15,1,True,3,False,1
231,1,256,2048,inf,1,1,16,64,False,False,False,False,False,17,32,1,inf,inf,inf,1,20,False,1,True,1
232,128,512,256,inf,1,256,32,16,True,True,True,True,False,3,32,1,inf,inf,inf,11,1,False,30,True,1
233,1,1024,512,0.3132636524062959,1,32,16,512,False,False,False,False,True,23,1,35,0.32277309045084696,0.01435194590506949,0.3180183714285714,17,29,True,1,False,8
234,64,128,1024,inf,1,64,64,32,True,True,False,False,True,30,1,1,inf,inf,inf,12,1,False,20,True,1
235,1024,1024,256,inf,32,128,256,32,True,False,False,False,True,1,1,1,inf,inf,inf,26,1,False,10,False,1
236,128,2048,128,inf,1,16,128,32,True,False,True,True,False,1,1,1,inf,inf,inf,1,22,False,22,True,1
237,2048,1,1024,inf,1,32,1,512,False,True,True,False,False,11,32,1,inf,inf,inf,9,1,False,16,False,1
238,64,64,1,0.42116751101549277,8,64,1,64,True,True,False,True,False,10,1,35,0.4222024889845073,0.001562021620483259,0.42168500000000003,1,13,True,13,False,1
239,2048,128,128,0.24747203413142313,1,64,1,512,True,False,False,True,True,4,8,35,0.24838025158286267,0.0013707106215986164,0.2479261428571429,17,1,True,2,False,8
