id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1693,1,8,64,1,256,32,32,1,1,0.14420328144873848,16,64,1,RS,8,True,True,False,256,128,True,1,22,5,1,1,35,2048,28,2,0.14489377142857143,1,False,0.0020842188133784853,True,0.1455842614084044
1694,1,1,64,32,32,1,16,1024,12,0.07933052470118292,16,16,256,RS,32,True,True,True,128,1024,False,1,17,13,128,1,35,1024,27,1,0.08121039428571428,1,False,0.005674317758711129,True,0.08309026387024564
1695,1,1,1,1,16,64,32,64,1,0.22172939437574793,16,32,64,RS,1,False,True,False,128,64,True,14,15,1,256,1,35,64,23,22,0.2229974,1,False,0.0038274287168877687,True,0.2242654056242521
1696,1,1,1024,1,32,128,512,2048,1,0.08443023039625239,32,256,16,RS,1,False,False,False,1,2048,True,11,1,21,2048,1,35,1,11,10,0.08603386285714287,32,True,0.004840506078800659,True,0.08763749531803336
1697,1,8,1,8,128,64,16,2048,22,0.21899544224942688,32,32,32,RS,32,False,False,True,1024,512,True,6,1,28,128,1,35,2048,11,1,0.2201992857142857,1,True,0.003633757579550234,True,0.22140312917914454
1698,1,1,256,32,32,64,64,128,8,0.17490210958360985,1,128,32,RS,8,False,True,True,128,512,True,1,9,18,128,1,35,512,1,16,0.17631288571428572,8,True,0.004258376281913959,True,0.17772366184496158
1699,1,1,2048,1,512,32,512,1,25,0.16881836932869276,1,1,16,RS,8,True,True,False,256,64,False,27,1,11,2048,8,35,1,1,12,0.16992905714285717,1,True,0.0033525706464729186,True,0.17103974495702157
1700,1,8,128,8,32,16,128,1024,21,0.1758219408908551,16,1,16,RS,1,True,False,True,512,128,True,1,17,1,2048,1,35,2048,17,1,0.17691477142857143,1,True,0.003298669108991116,True,0.17800760196628776
1701,1,1,256,32,64,16,128,64,4,0.13889358312603217,64,16,16,RS,1,True,True,False,1,1,True,24,11,1,2048,1,35,128,1,8,0.14006245714285712,8,True,0.0035282035764301767,True,0.14123133115968206
1702,1,32,512,1,32,16,64,64,30,0.1565104138447708,128,256,64,RS,8,True,True,True,1,1024,True,26,1,1,256,1,35,64,20,1,0.15789582857142853,8,True,0.0041818238091306794,True,0.15928124329808627
1703,1,1,1024,8,64,1,16,256,3,0.15203314465486517,16,64,256,RS,1,False,True,False,64,1,False,10,2,1,2048,8,35,1024,10,1,0.1541626,8,False,0.006427683271599497,True,0.15629205534513485
1704,1,1,1024,8,1,16,512,256,1,0.08532806193439683,1,1,1,RS,1,False,True,False,1,256,False,1,9,5,64,8,35,512,4,25,0.08765017142857144,1,False,0.007009202791985952,True,0.08997228092274605
1705,1,8,1,8,512,32,256,256,1,0.16055661044528985,1,16,512,RS,8,True,False,True,64,2048,False,1,20,12,1,8,35,512,6,28,0.16326754285714287,1,False,0.008182850583796255,True,0.1659784752689959
1706,1,1,1,1,128,64,16,1024,26,0.24794295716961073,1,64,256,RS,8,True,False,True,2048,256,False,26,12,1,1,1,35,1024,16,1,0.2501429714285714,8,True,0.006640662778822666,True,0.25234298568753205
1707,32,1,128,1,64,256,128,512,28,0.17325139676618312,1,128,32,RS,1,False,True,True,64,1024,False,1,25,14,1024,8,35,256,26,1,0.1765012571428571,8,False,0.009809584984210544,True,0.1797511175195311
1708,1,8,1024,8,64,512,128,512,1,0.20242697347922037,16,256,1,RS,8,True,True,False,256,512,True,11,1,24,1024,1,35,512,30,16,0.2036818,1,False,0.003787648073861743,True,0.20493662652077962
1709,1,8,2048,1,512,1,32,512,1,0.15303042279341994,16,16,512,RS,8,False,False,True,2048,512,True,27,5,1,1024,1,35,256,4,15,0.15406054285714285,1,True,0.0031093798310720348,True,0.15509066292086576
1710,1,1,1,8,512,128,128,128,1,0.1763553674801409,16,128,128,RS,32,True,True,False,128,128,True,1,29,14,1024,1,35,1024,24,22,0.177962,1,True,0.0048495616473479925,True,0.1795686325198591
1711,1,8,1,1,32,64,32,512,3,0.09081731283083276,128,32,16,RS,8,True,False,False,128,1,False,2,2,1,64,1,35,2048,1,9,0.0928925142857143,1,False,0.006263919883183274,True,0.09496771574059583
1712,8,1,2048,1,64,32,1,512,28,0.10519888015268268,256,512,64,RS,32,True,False,True,2048,256,False,1,9,17,128,1,35,128,1,27,0.10765022857142856,1,False,0.00739930577085528,True,0.11010157699017444
