id,RT1_K,RT1_J,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,cost_mean,correct_result,T1_K,T1_Ka,U1_K,U1_J,U1_I,runs,RT1_I,mean_confidence_interval_sup,cost_std
199,8,1,1024,RS,0.09496784408378994,32,64,1,0.09884319142857144,True,1,1024,1,6,23,35,1,0.10271853877335294,0.01169759457816304
200,1,1,1024,RS,0.23713191163342187,64,64,1024,0.24028797142857136,True,1,1024,27,12,1,35,8,0.24344403122372085,0.009526451350951247
201,8,8,2048,RS,0.11672809019912737,64,1,2048,0.11699534285714286,True,128,256,11,1,3,35,1,0.11726259551515834,0.0008066923981953244
202,1,8,1024,RS,0.2515955236042491,32,512,1,0.2561772,True,1,256,11,26,1,35,8,0.2607588763957509,0.013829623049919224
203,1,1,1024,RS,0.11944865155547203,128,512,1024,0.1221325142857143,True,256,1024,11,1,10,35,1,0.12481637701595656,0.0081011417374217
204,8,1,2048,RS,0.09889456790839725,128,256,1,0.10058937999999999,True,1,256,1,30,13,35,8,0.10228419209160274,0.0051157284676517836
205,8,8,512,RS,0.21611403596632625,128,64,1024,0.22118182857142857,True,256,1,1,19,6,35,1,0.22624962117653089,0.015296947093149412
206,8,1,256,RS,0.2131459722771851,32,32,64,0.21667728571428568,True,16,2048,10,1,15,35,8,0.22020859915138627,0.010659140779018673
207,1,8,1,RS,0.2634208375193425,256,1,512,0.2643749142857142,True,512,1024,1,14,19,35,1,0.2653289910520859,0.0028798459122611644
208,1,8,2048,RS,0.25361081405804975,32,64,128,0.25438720000000004,True,1,1,4,1,28,35,8,0.2551635859419503,0.0023434926413368543
209,1,8,1,RS,0.1269724745782652,16,16,1,0.12941105714285714,True,32,128,1,24,8,35,1,0.1318496397074491,0.007360772505820907
210,1,8,1024,RS,0.24122109574577383,1,1,128,0.24526231428571427,True,64,128,1,18,18,35,1,0.2493035328256547,0.012198270729367284
211,8,1,1,RS,0.1004195852243877,256,64,1024,0.10349459142857144,True,16,1,1,6,27,35,8,0.10656959763275518,0.009281794043652534
212,32,1,2048,RS,0.24803509086476166,128,32,2048,0.25338728571428576,True,512,2048,10,24,1,35,1,0.25873948056380985,0.01615540489225365
213,1,1,1,RS,0.11210222836218713,1,16,256,0.11526608571428572,True,512,2048,13,1,25,35,1,0.11842994306638431,0.009549987992128363
214,1,32,128,RS,0.0899860278657636,16,16,1,0.09032266857142857,True,32,64,1,26,4,35,1,0.09065930927709354,0.0010161376885811802
215,8,8,256,RS,0.23420966235541724,256,128,1,0.23696251428571427,True,32,256,21,28,1,35,1,0.2397153662160113,0.008309383120893868
216,1,1,1024,RS,0.26279071092004275,512,512,1,0.26734302857142855,True,16,512,7,1,19,35,32,0.27189534622281436,0.013741004751131276
217,1,1,1,RS,0.23414214413446593,512,512,512,0.23503157142857145,True,1,128,20,1,3,35,8,0.23592099872267697,0.002684703838795038
218,1,8,64,RS,0.23963561166113745,64,1,64,0.2442814857142857,True,128,2048,1,8,4,35,8,0.24892735976743396,0.014023401336687037
219,1,1,2048,RS,0.10740078524923186,16,128,256,0.1101132,True,32,512,19,1,30,35,32,0.11282561475076813,0.008187324969732178
220,1,1,64,RS,0.15562993393089172,1,1,64,0.15962697142857143,True,64,1024,1,5,28,35,32,0.16362400892625115,0.012064911865134755
221,1,1,512,RS,0.19684712535009005,128,16,1024,0.201565,True,512,1,1,22,21,35,32,0.20628287464990994,0.01424073251125597
222,32,1,2048,RS,0.12217339140415036,32,128,128,0.1243758,True,16,64,6,1,28,35,1,0.12657820859584965,0.006647889997370807
223,8,1,1024,RS,0.09802553836686612,16,1,128,0.10010866,True,512,512,1,1,5,35,8,0.10219178163313389,0.00628782665229069
224,1,8,2048,RS,0.10327075263750454,32,32,1024,0.105941,True,16,64,3,1,4,35,1,0.10861124736249544,0.008060044246599571
225,1,1,128,RS,0.13299486865651763,16,16,128,0.1356680285714286,True,32,1024,29,8,1,35,32,0.13834118848633956,0.008068835679808773
226,1,1,128,RS,0.08533761921678366,128,64,128,0.0868928457142857,True,128,1,1,4,29,35,1,0.08844807221178773,0.004694394444279436
227,32,1,1024,RS,0.2424740644519498,512,64,512,0.24657782857142851,True,256,1,27,5,1,35,1,0.25068159269090723,0.0123870622793893
228,8,8,2048,RS,0.11470247463456013,32,512,1024,0.11779437142857144,True,1,1,11,1,26,35,1,0.12088626822258275,0.009332777672837397
229,8,1,2048,RS,0.1907008374247388,512,512,512,0.19471662857142857,True,16,512,1,30,17,35,1,0.19873241971811834,0.012121519070493041
230,1,8,1024,RS,0.11275692044470183,64,1,128,0.11472422857142858,True,1,1,30,1,29,35,1,0.11669153669815534,0.005938247808358067
231,8,1,256,RS,0.25429366362204664,512,16,1024,0.25876405714285716,True,128,1,15,22,1,35,1,0.2632344506636677,0.013493719751780524
232,1,32,2048,RS,0.114837029960517,128,16,256,0.1178502285714286,True,32,64,6,1,2,35,1,0.1208634271823402,0.009095230078251266
233,8,8,2048,RS,0.2416812515784337,64,256,512,0.24488474285714287,True,128,128,6,29,1,35,1,0.24808823413585204,0.00966962155366074
234,1,1,256,RS,0.10762322439325923,16,1,2048,0.11048468571428571,True,512,1024,1,16,27,35,8,0.11334614703531219,0.008637216604476992
235,1,1,2048,RS,0.28464061896648324,1,32,64,0.29096371428571427,True,1,512,21,27,1,35,32,0.2972868096049453,0.019086032539262738
236,32,1,256,RS,0.1224977230423807,64,256,256,0.12299402857142856,True,32,256,5,1,15,35,1,0.12349033410047643,0.0014980801330028908
237,8,1,1,RS,0.09679151772891434,16,16,512,0.09863893428571428,True,512,2048,1,16,18,35,8,0.10048635084251423,0.005576359478468923
238,8,8,1,RS,0.22192220070432367,512,128,1024,0.22283091428571433,True,512,1,14,22,1,35,1,0.223739627867105,0.0027429187933547695
239,8,8,2048,RS,0.1263286153488701,64,256,512,0.1267738571428571,True,32,1024,1,2,11,35,1,0.1272190989368441,0.0013439461116504653
240,1,1,1024,RS,0.2367149523526064,64,512,1024,0.23979742857142852,True,512,512,27,4,1,35,8,0.24287990479025065,0.009304342010314215
241,1,32,512,RS,0.14402876654216984,16,256,256,0.14452679999999996,True,256,2048,14,29,1,35,1,0.14502483345783007,0.0015032958229931228
242,1,8,128,RS,0.2404372912094295,32,1,512,0.24517705714285717,True,16,1,16,1,29,35,8,0.24991682307628485,0.014306810551907202
243,1,1,1,RS,0.09395205608061756,16,1,128,0.09536329142857143,True,64,128,1,4,16,35,8,0.0967745267765253,0.004259762412514269
244,1,1,1,RS,0.11960099118590095,16,32,1024,0.12169777142857142,True,512,512,1,16,12,35,32,0.1237945516712419,0.00632905466687771
245,8,1,256,RS,0.19182652935836594,16,16,64,0.19419820000000002,True,32,1,5,1,10,35,8,0.1965698706416341,0.007158801307481581
246,1,1,1024,RS,0.11295149798997269,128,128,1024,0.11474237142857144,True,512,2048,8,1,25,35,1,0.11653324486717019,0.005405686139008573
247,8,1,512,RS,0.11494451016189243,1,32,1024,0.11666099999999999,True,1,1,28,1,19,35,1,0.11837748983810754,0.005181161954619831
248,32,1,256,RS,0.2468164174169288,1,1,1,0.2476565428571429,True,64,128,1,19,24,35,1,0.24849666829735698,0.0025358879914748047
249,1,8,1024,RS,0.24601382530230376,16,128,128,0.24914137142857143,True,1,512,4,1,27,35,8,0.2522689175548391,0.009440383881679252
250,1,32,256,RS,0.10942700656999835,64,64,1024,0.11121254285714284,True,64,128,14,1,11,35,1,0.11299807914428733,0.005389576142056107
251,32,1,64,RS,0.11925640151128847,512,1,512,0.12261354285714288,True,16,2048,5,1,29,35,1,0.12597068420299729,0.010133408675811927
252,1,1,1,RS,0.20355881193507178,1,16,256,0.20425085714285712,True,512,1,1,1,11,35,32,0.20494290235064247,0.0020889132122142513
253,1,32,256,RS,0.14531446587574806,256,1,256,0.14790122857142857,True,1,2048,16,1,10,35,1,0.15048799126710907,0.00780804882554155
254,1,32,128,RS,0.1432093713753667,128,64,256,0.14540057142857143,True,128,512,18,1,9,35,1,0.14759177148177616,0.006614057420311959
255,8,8,64,RS,0.24837315056846573,1,64,1,0.2527052,True,512,1024,1,29,16,35,1,0.2570372494315343,0.013076133165427769
256,1,1,2048,RS,0.19332156248930396,16,32,1,0.19629642857142854,True,128,1024,7,11,1,35,1,0.19927129465355312,0.008979524738571203
257,8,1,512,RS,0.2201881081683543,1,32,128,0.22341545714285713,True,128,512,25,1,25,35,8,0.22664280611735996,0.009741635138027343
258,1,32,512,RS,0.10439099912259013,1,64,128,0.10757385714285715,True,64,2048,4,1,14,35,1,0.11075671516312417,0.00960734081580436
259,1,1,256,RS,0.10499121696255515,16,32,256,0.10756354285714287,True,1,512,3,1,18,35,32,0.11013586875173059,0.007764471868132461
260,1,32,1,RS,0.2366331111123056,32,32,1,0.24193402857142857,True,256,256,5,18,1,35,1,0.24723494603055154,0.016000625960051352
261,32,1,2048,RS,0.10810335444078316,256,64,256,0.11039105714285714,True,16,64,3,1,16,35,1,0.11267875984493113,0.006905347145273342
262,1,8,256,RS,0.2360323463701166,512,256,2048,0.23739357142857145,True,64,1024,27,2,1,35,8,0.2387547964870263,0.00410880817815799
263,1,1,256,RS,0.1208731875799972,32,128,2048,0.12263639999999999,True,64,1024,1,30,27,35,32,0.12439961242000279,0.00532219236351766
264,1,1,256,RS,0.12594629740338253,16,64,2048,0.12938868571428572,True,64,2048,26,1,23,35,1,0.1328310740251889,0.010390723529795847
265,1,1,64,RS,0.1228114797103708,512,1,2048,0.12467834285714287,True,64,2048,1,2,11,35,32,0.12654520600391492,0.005635058300841044
266,32,1,512,RS,0.09093687919866503,128,16,512,0.09380552285714286,True,256,2048,1,11,16,35,1,0.09667416651562069,0.008658896228044829
267,1,8,1,RS,0.10218752837893993,32,1,1024,0.10507372857142859,True,64,2048,15,1,24,35,1,0.10795992876391725,0.008711889985451622
268,1,8,512,RS,0.2456902903596614,128,32,512,0.24921094285714288,True,64,512,1,23,21,35,1,0.25273159535462436,0.010626961121715326
269,32,1,128,RS,0.11850060644643176,1,16,1,0.12041665714285715,True,64,2048,1,8,2,35,1,0.12233270783928255,0.005783529124988639
270,1,1,256,RS,0.10046975447575886,1,64,64,0.10369698857142857,True,32,128,5,1,2,35,1,0.10692422266709829,0.009741288380460665
271,8,1,2048,RS,0.2340327953498612,64,128,256,0.23823020000000003,True,64,128,26,26,1,35,8,0.24242760465013885,0.012669712804953402
272,32,1,2048,RS,0.08751873019989889,512,1,1,0.08938358857142858,True,512,512,1,2,29,35,1,0.09124844694295828,0.005629006959911005
273,8,8,1,RS,0.2218636780016025,128,128,256,0.2268862857142857,True,16,128,1,26,5,35,1,0.2319088934269689,0.015160558143836692
274,1,1,1024,RS,0.2164520662517595,1,1,1,0.21946331428571425,True,1,64,11,1,20,35,8,0.222474562319669,0.009089342332868842
275,8,8,1024,RS,0.11986664621453666,512,16,1,0.12209142857142855,True,64,1,6,1,4,35,1,0.12431621092832043,0.006715424378827829
276,8,1,1,RS,0.23599427282376745,1,32,2048,0.24114065714285715,True,128,2048,27,12,1,35,1,0.24628704146194685,0.015534173314604265
277,1,8,1,RS,0.25122089536461534,1,16,256,0.25184502857142854,True,512,2048,24,1,24,35,8,0.25246916177824175,0.0018839233148741819
278,1,1,512,RS,0.12322892293845872,64,256,1,0.12585274285714285,True,32,2048,1,23,29,35,32,0.12847656277582697,0.007919904701240708
279,8,1,1024,RS,0.1990075084125274,256,64,2048,0.20190777142857141,True,128,1,22,1,30,35,8,0.20480803444461543,0.00875433810530761
280,8,1,128,RS,0.09896266305990764,1,1,512,0.10077287142857141,True,128,128,1,10,27,35,1,0.10258307979723519,0.005464047920024725
281,1,8,1024,RS,0.23252968017859194,512,256,2048,0.23710917142857144,True,256,2048,2,11,1,35,1,0.24168866267855094,0.013823027267127672
282,1,8,128,RS,0.2435789805137049,128,128,2048,0.2483946285714285,True,1,2048,1,8,27,35,1,0.2532102766291521,0.014535857975730643
283,8,8,128,RS,0.2270913146850648,32,16,512,0.22994685714285715,True,64,512,8,27,1,35,1,0.2328023996006495,0.008619350731739294
284,1,1,512,RS,0.12235365250634833,16,128,512,0.1257781142857143,True,128,128,21,1,1,35,1,0.1292025760650803,0.0103366129483541
285,1,1,1,RS,0.09891910015543445,16,1,128,0.10172985142857144,True,64,256,4,1,6,35,8,0.10454060270170842,0.008484150174947955
286,8,8,1,RS,0.12443397531174398,16,512,256,0.12714882857142856,True,64,2048,21,1,22,35,1,0.12986368183111316,0.008194685519933775
287,8,8,2048,RS,0.12605675337031694,64,128,512,0.12880719999999996,True,16,1,10,1,15,35,1,0.13155764662968297,0.008302122808741663
288,8,8,64,RS,0.18806190381133553,256,32,1024,0.19246828571428573,True,1,256,30,10,1,35,1,0.19687466761723593,0.013300503018568088
289,8,1,512,RS,0.11983734048796985,128,1,128,0.12147848571428574,True,64,2048,1,16,28,35,1,0.12311963094060163,0.004953736992680682
290,1,1,1024,RS,0.22445998973114054,128,512,256,0.22861937142857144,True,16,1024,17,1,29,35,8,0.23277875312600235,0.012554941909373979
291,1,1,1024,RS,0.32182917774581205,64,512,128,0.3265377142857143,True,64,128,22,28,1,35,32,0.3312462508256166,0.014212545766874779
292,32,1,128,RS,0.09549771832287074,1,128,64,0.09837139714285714,True,128,512,1,11,22,35,1,0.10124507596284354,0.008674094679363562
293,8,1,1024,RS,0.23781643864333837,32,1,2048,0.2414080285714286,True,16,1024,8,1,13,35,8,0.24499961849951882,0.010841083168038446
294,1,8,1024,RS,0.2538137312894724,512,32,1024,0.2581583428571429,True,1,1024,1,28,14,35,1,0.2625029544248134,0.013114051515057875
295,8,1,1024,RS,0.1263568484300013,512,1,512,0.12811054285714288,True,32,2048,3,2,1,35,8,0.12986423728428445,0.005293462649305449
296,1,8,512,RS,0.10755400264681628,1,1,1024,0.10928774285714286,True,16,1,26,3,1,35,1,0.11102148306746945,0.005233231573827605
297,1,1,2048,RS,0.2914529569615883,64,32,1,0.2971719428571429,True,128,2048,21,26,1,35,32,0.30289092875269746,0.017262550283270686
298,1,8,2048,RS,0.24826950692457986,512,512,2048,0.252807,True,1,128,9,1,7,35,8,0.2573444930754201,0.013696257309415382
299,8,8,1,RS,0.12308246640350266,128,1,256,0.1262282285714286,True,32,128,16,1,28,35,1,0.12937399073935452,0.009495368338859332
300,1,8,64,RS,0.2415276169593746,64,64,64,0.24569657142857143,True,16,64,22,25,1,35,8,0.24986552589776825,0.01258383697171146
301,1,1,1,RS,0.07207278812411438,1,1,1,0.07405587142857144,True,1,1,1,1,1,35,1,0.07603895473302849,0.005985864606820278
302,1,32,64,RS,0.07126573432312122,64,16,256,0.07346127142857142,True,256,2048,20,1,22,35,1,0.07565680853402162,0.0066271486542887215
303,8,1,256,RS,0.10262621094187238,32,1,1,0.10332909428571428,True,32,128,1,27,13,35,8,0.10403197762955618,0.002121627730499508
304,1,32,2048,RS,0.11086676876350529,256,1,512,0.11200417142857143,True,64,256,15,1,9,35,1,0.11314157409363756,0.003433208449297323
305,1,1,64,RS,0.20490604447421923,16,32,1,0.20721377142857142,True,1,128,12,1,20,35,8,0.2095214983829236,0.006965789620241869
306,1,1,256,RS,0.20726641979837035,32,256,1024,0.2121457142857143,True,64,2048,20,1,1,35,8,0.21702500877305825,0.014727972401563783
307,8,1,256,RS,0.18330502713494262,32,1,256,0.1865174571428571,True,32,1,28,2,1,35,1,0.1897298871507716,0.009696602781660497
308,1,1,1024,RS,0.12398386311041301,1,64,256,0.12666699999999997,True,64,512,1,28,9,35,32,0.12935013688958694,0.008098950813884122
309,32,1,1024,RS,0.08642019007617358,16,16,1024,0.0882219057142857,True,512,2048,1,25,6,35,1,0.09002362135239783,0.005438412922690005
310,1,8,1024,RS,0.2668380771741144,1,32,1,0.26793254285714274,True,128,1024,24,1,4,35,8,0.2690270085401711,0.003303604735461441
311,1,1,1,RS,0.13634063122258036,128,16,256,0.13716634285714285,True,16,128,18,1,24,35,8,0.13799205449170535,0.0024923804449660126
312,8,8,1024,RS,0.1283594139155311,64,32,1024,0.13122168571428572,True,16,512,7,1,6,35,1,0.13408395751304034,0.008639663001931197
313,1,1,1,RS,0.30182355895048774,1,1,512,0.30775331428571423,True,1,1,18,24,1,35,1,0.3136830696209407,0.017898750147540516
314,1,1,512,RS,0.09886174353251052,32,16,1,0.09933146857142856,True,128,1024,26,22,1,35,8,0.0998011936103466,0.0014178478932666994
315,1,8,1,RS,0.27487051779174154,1,128,128,0.2759604857142858,True,256,1,20,24,1,35,1,0.27705045363683,0.003290028409529347
316,1,8,1,RS,0.2323854124354063,1,256,1,0.23306517142857142,True,16,1024,1,26,17,35,1,0.23374493042173652,0.002051827721613993
317,8,1,256,RS,0.10155169540692029,64,16,512,0.10330191428571427,True,1,1,1,29,27,35,8,0.10505213316450825,0.0052829718334146975
318,8,1,1,RS,0.12037573883074186,32,32,1024,0.12312242857142855,True,256,1024,6,2,1,35,1,0.12586911831211522,0.008290782776366655
319,1,32,512,RS,0.26793099352233446,32,64,2048,0.27266054285714286,True,16,1,22,11,1,35,1,0.27739009219195127,0.01427597212170127
320,8,8,1024,RS,0.12047188945319788,128,32,256,0.1212652857142857,True,512,512,26,1,26,35,1,0.12205868197537352,0.002394837669075816
321,8,1,64,RS,0.20146118957007023,16,64,2048,0.20489059999999998,True,512,1,13,23,1,35,8,0.20832001042992973,0.010351550269542101
322,8,8,128,RS,0.1188149511850748,128,64,2048,0.1194405142857143,True,128,1,1,1,1,35,1,0.12006607738635379,0.0018882393972228417
323,1,8,512,RS,0.26531010697790525,512,16,512,0.26845588571428575,True,256,1,4,1,16,35,8,0.27160166445066625,0.00949541835013506
324,8,8,128,RS,0.22747472916950018,1,32,256,0.23120891428571427,True,64,2048,1,8,28,35,1,0.23494309940192837,0.011271501541172462
325,8,1,128,RS,0.10018955013394538,128,128,256,0.10290656857142857,True,16,1,1,17,8,35,8,0.10562358700891177,0.008201221030127909
326,8,1,1,RS,0.23388295549832305,512,64,1,0.23794642857142856,True,1,2048,22,20,1,35,1,0.24200990164453406,0.012265445225826706
327,32,1,1,RS,0.10426597426321668,16,16,1,0.10651234285714284,True,16,1,17,1,5,35,1,0.108758711451069,0.0067805816477975525
328,8,1,256,RS,0.12247861120818339,64,16,1024,0.12574462857142857,True,32,1,1,3,20,35,1,0.12901064593467373,0.00985835425872961
329,8,1,256,RS,0.11575526968816292,64,32,1,0.1187097142857143,True,32,512,2,1,1,35,8,0.12166415888326566,0.008917883232412207
330,32,1,1,RS,0.17913225334166652,256,64,2048,0.18063534285714283,True,64,128,11,1,11,35,1,0.18213843237261915,0.004537020866118188
331,32,1,512,RS,0.11075867378137706,512,512,2048,0.11359417142857142,True,64,128,1,7,14,35,1,0.11642966907576578,0.008558846202232481
332,1,8,256,RS,0.10726369617425145,1,16,128,0.10915408571428571,True,32,2048,1,3,30,35,1,0.11104447525431997,0.00570607186060317
333,1,1,1,RS,0.10466275634060791,512,1,2048,0.10806314285714286,True,1,1024,1,8,20,35,8,0.1114635293736778,0.010263942645822545
334,1,1,64,RS,0.2078749986313462,128,64,512,0.21265717142857143,True,16,1024,24,1,12,35,8,0.21743934422579667,0.01443481412317499
335,1,1,512,RS,0.10539682747321572,16,1,256,0.10824462857142858,True,64,2048,15,1,6,35,1,0.11109242966964145,0.008595983720272139
336,1,8,128,RS,0.24979713434116146,32,1,128,0.25039917142857143,True,256,256,25,1,22,35,8,0.2510012085159814,0.001817226984575508
337,1,8,256,RS,0.25170642302177093,64,1,128,0.2556519428571429,True,256,1,1,14,10,35,8,0.2595974626925148,0.011909407680947885
338,32,1,256,RS,0.11169932258226503,64,16,512,0.11507957142857145,True,32,256,2,1,23,35,1,0.11845982027487786,0.010203157822908733
339,8,1,512,RS,0.17663105961079403,512,32,2048,0.18047791428571427,True,16,1024,17,11,1,35,1,0.18432476896063452,0.011611590493668514
340,8,8,2048,RS,0.11791969452750868,512,128,1024,0.12068071428571428,True,256,1,21,1,22,35,1,0.12344173404391988,0.008334037411453723
341,1,8,1024,RS,0.24028945841595434,1,16,1024,0.24462105714285712,True,64,1,14,23,1,35,1,0.2489526558697599,0.013074772729940353
342,1,8,1024,RS,0.24280857788221108,128,64,2048,0.24392008571428572,True,64,128,8,1,25,35,8,0.24503159354636037,0.0033550458406187336
343,1,8,512,RS,0.22365183106839062,256,256,1,0.22755728571428568,True,32,512,1,25,20,35,1,0.23146274036018075,0.011788472368187078
344,1,1,512,RS,0.3274579375258289,512,1,1024,0.3318208857142857,True,1,1024,22,20,1,35,32,0.3361838339027425,0.013169399935936837
345,1,8,256,RS,0.2398749996265692,1,128,1,0.24070460000000002,True,1,256,1,27,9,35,1,0.24153420037343085,0.0025041184613694752
346,32,1,256,RS,0.1621903292043568,256,1,256,0.1662522285714286,True,1,512,1,24,12,35,1,0.1703141279385004,0.012260695051576608
347,1,1,1,RS,0.28646599576481246,256,16,1024,0.2875443428571428,True,1,2048,8,18,1,35,32,0.28862268994947315,0.003254951357484755
348,1,1,1,RS,0.24999764208930308,256,64,1,0.25421082857142857,True,64,64,16,10,1,35,1,0.25842401505355406,0.01271734968904564
349,8,1,64,RS,0.1222628664644272,128,64,1024,0.12575134285714287,True,32,2048,22,1,23,35,1,0.12923981924985856,0.01052983872334196
350,1,32,2048,RS,0.23582863476263785,16,128,256,0.23980019999999996,True,256,512,2,9,1,35,1,0.24377176523736208,0.01198802477665584
351,8,1,512,RS,0.10028716391118811,256,64,2048,0.10243822571428571,True,1,2048,1,20,26,35,8,0.1045892875173833,0.006492901576704157
352,1,1,256,RS,0.06949938240489306,16,16,1024,0.07139293428571428,True,1,256,30,18,1,35,1,0.07328648616653549,0.005715617270898736
353,1,1,2048,RS,0.2432743208148325,512,1,1,0.24436931428571432,True,512,2048,4,1,6,35,32,0.24546430775659614,0.0033051978438421474
354,1,1,1024,RS,0.24493645171932693,64,16,128,0.2489044571428572,True,512,2048,4,1,21,35,32,0.25287246256638746,0.01197727960847503
355,1,8,2048,RS,0.19267580043673752,32,512,1,0.19649954285714288,True,64,1024,1,20,6,35,1,0.20032328527754825,0.011541826996606382
356,32,1,512,RS,0.2329727246876482,512,1,1024,0.23799428571428569,True,16,512,25,25,1,35,1,0.24301584674092316,0.01515739876019333
357,1,32,1024,RS,0.29281997138308075,1,128,1,0.29809911428571434,True,1,128,30,10,1,35,1,0.30337825718834793,0.015934900255676763
358,8,1,1024,RS,0.11538188521467743,1,64,64,0.1182287142857143,True,16,1,2,1,2,35,8,0.12107554335675116,0.00859304969170327
359,1,1,2048,RS,0.12591904303055865,32,32,64,0.12782331428571428,True,32,128,4,1,16,35,8,0.1297275855408699,0.005747973311258392
360,1,1,2048,RS,0.22032983363039044,64,256,512,0.22289477142857142,True,128,1024,1,25,25,35,32,0.2254597092267524,0.0077421711686643776
361,1,1,1024,RS,0.103225050187341,256,256,1024,0.10483782857142857,True,32,512,4,21,1,35,8,0.10645060695551613,0.004868112714305584
362,1,1,1024,RS,0.10316136277496654,16,128,512,0.10606505714285713,True,64,512,23,20,1,35,32,0.10896875151074772,0.00876469551567246
363,1,1,1,RS,0.2031105873367114,32,32,512,0.2039922,True,256,1024,1,26,17,35,32,0.20487381266328863,0.0026611156607708724
364,32,1,1024,RS,0.216681582607658,32,256,2048,0.22143594285714285,True,16,256,14,11,1,35,1,0.22619030310662772,0.014350862962489865
365,1,32,1,RS,0.2460161856600597,16,1,512,0.24672057142857143,True,32,1,1,7,6,35,1,0.24742495719708316,0.002126162744553326
366,8,8,1,RS,0.11886765561218535,16,64,128,0.12143957142857142,True,1,2048,10,1,27,35,1,0.1240114872449575,0.007763234062041463
367,8,1,64,RS,0.11331735996810802,64,64,64,0.11672605714285714,True,16,64,1,16,11,35,1,0.12013475431760626,0.01028902806444906
368,1,8,1,RS,0.24619060811896826,512,64,1024,0.24945257142857144,True,1,512,20,1,25,35,8,0.2527145347381746,0.009846117245712976
369,1,1,1,RS,0.30382734619156937,32,256,2048,0.3076221714285714,True,64,1024,14,30,1,35,1,0.31141699666557343,0.011454541533472251
370,1,8,1,RS,0.24193368385155908,256,1,1,0.24485642857142856,True,1,64,1,21,10,35,8,0.24777917329129803,0.008822198308117715
371,8,8,1024,RS,0.15844920695224377,16,32,256,0.15894082857142858,True,128,512,25,7,1,35,1,0.1594324501906134,0.001483941921961604
372,1,1,256,RS,0.1034649292321865,256,1,2048,0.10630688285714286,True,16,64,4,1,24,35,8,0.10914883648209922,0.008578333335577346
373,1,1,128,RS,0.3553196358982684,64,64,256,0.35982954285714286,True,16,256,29,1,26,35,32,0.3643394498160173,0.013612989623030447
374,1,1,256,RS,0.22899381393654283,16,1,1,0.23368877142857145,True,256,1024,20,1,6,35,8,0.23838372892060006,0.01417155790626466
375,8,1,256,RS,0.10244156888433374,64,256,512,0.10400596571428572,True,64,512,1,10,18,35,8,0.1055703625442377,0.004722074758223663
376,8,8,256,RS,0.18391362964325714,128,16,2048,0.18651382857142856,True,32,128,1,5,10,35,1,0.1891140274996,0.007848605603129093
377,1,1,256,RS,0.11989139805852961,1,256,256,0.12162297142857145,True,32,1024,1,25,4,35,32,0.1233545447986133,0.005226691045479726
378,1,8,256,RS,0.24164843431351157,128,16,1,0.24638857142857143,True,1,2048,13,7,1,35,8,0.2511287085436313,0.014307930950122363
379,1,8,256,RS,0.1086943852924489,16,64,512,0.11172714285714286,True,1,256,9,1,3,35,1,0.11475990042183681,0.009154268066685328
380,1,32,1024,RS,0.3243765347987924,1,128,64,0.3296050285714286,True,64,128,1,16,15,35,1,0.33483352234406477,0.01578201770458249
381,1,32,2048,RS,0.10910737120074548,32,256,256,0.11107782857142859,True,16,512,28,1,30,35,1,0.11304828594211169,0.005947753686348265
382,1,8,128,RS,0.23835620635001464,512,128,512,0.24259368571428572,True,64,1024,23,30,1,35,8,0.2468311650785568,0.012790676867538946
383,1,1,64,RS,0.11937356211672634,1,32,1024,0.12096448571428571,True,32,256,1,29,10,35,1,0.12255540931184508,0.004802144838485812
384,1,32,256,RS,0.24670263339582849,16,32,1024,0.25071782857142855,True,16,64,1,3,10,35,1,0.2547330237470286,0.012119720153501216
385,32,1,512,RS,0.14452109185840029,64,1,2048,0.147203,True,512,2048,22,1,7,35,1,0.14988490814159972,0.00809524188291228
386,1,1,64,RS,0.09875332319200017,16,16,2048,0.10066324571428571,True,128,512,1,11,29,35,8,0.10257316823657125,0.005765031454918171
387,1,1,512,RS,0.24414289987577006,16,1,64,0.24463354285714287,True,16,128,23,1,28,35,8,0.24512418583851567,0.0014809879394291825
388,8,1,256,RS,0.2384901651083774,64,1,2048,0.24371439999999994,True,32,256,24,17,1,35,8,0.2489386348916225,0.01576916242761712
389,1,1,256,RS,0.23727096404307257,256,1,1024,0.23802697142857143,True,64,2048,19,1,12,35,8,0.2387829788140703,0.0022819807121472898
390,1,32,128,RS,0.27367551140960517,16,64,1,0.2781090285714286,True,16,128,10,12,1,35,1,0.28254254573325205,0.013382409807516971
391,1,1,128,RS,0.20871804930401516,512,32,512,0.21268905714285716,True,512,1,1,13,17,35,32,0.21666006498169915,0.0119863422895581
392,1,1,2048,RS,0.1995038462334301,1,256,1,0.20374417142857143,True,256,2048,1,24,7,35,1,0.20798449662371277,0.012799266904197987
393,1,1,1,RS,0.2924868093582797,64,1,512,0.2980460857142857,True,64,512,20,24,1,35,32,0.3036053620702917,0.016780472864734223
394,1,8,256,RS,0.24092954503398312,16,16,128,0.24509291428571425,True,32,256,28,1,11,35,8,0.2492562835374454,0.012566978196553578
395,1,1,1,RS,0.11475470224976277,16,64,2048,0.11786159999999998,True,16,128,1,10,1,35,1,0.1209684977502372,0.009378057511934058
396,1,8,64,RS,0.10914629695119696,64,16,256,0.11221677142857142,True,256,1,19,1,25,35,1,0.11528724590594588,0.00926811519160708
