id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
672,64,16,128,128,0.23872807745335303,64,64,RS,512,False,True,True,True,1,22,True,2,26,1,35,1,8,0.23921951428571425,0.0014833841496760692,True,False,8,8,2048,0.23971095111807547,18
673,16,16,64,16,0.4256825752629016,1,256,RS,128,False,False,False,False,30,22,False,1,25,1,35,1,32,0.42662774285714283,0.002852953901213442,True,False,8,1,1,0.42757291045138407,1
674,32,16,16,16,0.19270165077730184,1,256,RS,256,False,True,False,True,1,21,False,15,23,8,35,1,8,0.1949806,0.006878925087125581,True,True,32,1,512,0.19725954922269817,30
675,1,32,16,1,0.3822602755872678,512,1,RS,2048,True,False,True,True,3,11,True,1,2,32,35,1,1,0.38312334285714283,0.0026051370673328945,True,False,32,1,64,0.3839864101270179,9
676,16,1,32,128,0.36281473163685607,128,256,RS,2048,True,False,False,True,20,9,False,1,10,1,35,1,32,0.3638068857142857,0.0029947808865369977,True,False,32,1,1024,0.36479903979171535,16
677,1,512,32,256,0.11497406824983854,128,1024,RS,2048,True,False,False,True,8,13,True,1,16,1,35,1,1,0.11994125714285715,0.014993278458491908,True,True,8,8,512,0.12490844603587577,26
678,1,512,1,128,1.3882940027903858,64,512,RS,64,True,False,True,False,1,14,False,29,9,1,35,1,32,1.3896022857142858,0.003949004276461378,True,False,1,8,256,1.3909105686381857,11
679,128,64,1,32,0.5493268040244854,2048,1024,RS,128,True,False,False,True,1,26,True,7,20,1,35,1,32,0.5509128857142856,0.004787529716559347,True,False,1,1,1024,0.5524989674040859,24
680,1,32,32,1,0.21897742657506483,256,256,RS,2048,False,True,True,True,13,27,True,1,27,8,35,1,1,0.22229768571428568,0.010022081080640823,True,True,1,8,1,0.22561794485350653,14
681,32,256,16,256,0.11451343555999871,64,512,RS,1,False,False,False,False,23,21,True,1,30,1,35,1,1,0.11804268571428574,0.010652912835119465,True,True,1,1,256,0.12157193586857276,26
