id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
610,512,128,DLMT,8,8,True,1,64,True,64,16,1,False,0.16631421907855332,512,64,1024,2048,True,True,False,128,True,1,False,1,False,16,12,2048,True,16,1,1,12,16,1,16,0.003939813478854456,35,0.16892469520716108,16,0.1676194571428572,1,8,1,True,1024,2048,4,1,True,12,32,1,1
611,512,128,DLMT,8,8,True,1,16,False,64,512,1,True,0.17425630168212083,512,64,2048,2048,True,True,False,128,True,1,False,2048,False,8,8,1024,True,16,1,1,12,16,1,16,0.00852478270982879,35,0.17990472688930767,16,0.17708051428571425,16,8,1,True,1,1,1,2048,True,12,32,1,1
612,512,128,DLMT,8,8,True,1,128,False,64,1,1,True,0.16837393820947455,512,64,1024,2048,True,False,False,128,True,1,False,128,False,12,4,2048,True,16,1,1,12,16,1,16,0.0070242373596638924,35,0.17302811893338255,16,0.17070102857142855,4,8,1,True,1,1024,8,1024,True,12,32,1,1
613,512,128,DLMT,8,8,True,1,512,True,64,128,1,False,0.1705916748089024,512,64,1,2048,True,False,False,128,True,1,False,512,True,16,4,1024,True,16,1,1,12,16,1,16,0.0054261954203283025,35,0.17418701090538333,16,0.17238934285714286,16,8,1,True,512,2048,12,128,True,12,32,1,1
614,512,128,DLMT,8,8,True,1,512,True,64,128,1,False,0.17143252200071293,512,64,2048,2048,True,False,False,128,True,1,False,2048,False,1,4,2048,True,16,1,1,12,16,1,16,0.00467436931587829,35,0.17452970657071568,1,0.1729811142857143,8,8,1,True,128,1024,4,1,True,12,32,1,1
615,512,128,DLMT,8,8,True,1,1,True,64,256,1,True,0.16933569367537613,512,64,512,2048,True,False,False,128,True,1,False,2048,True,1,12,1,True,16,1,1,12,16,1,16,0.007390037078916123,35,0.1742322491817667,8,0.1717839714285714,12,8,1,True,1,256,12,1,True,12,32,1,1
616,512,128,DLMT,8,8,True,1,32,True,64,64,1,True,0.1687341113147347,512,64,1,2048,True,True,False,128,True,1,False,1,True,4,4,1,True,16,1,1,12,16,1,16,0.013634236193060586,35,0.17776800297097956,16,0.17325105714285713,8,8,1,True,2048,1,4,2048,True,12,32,1,1
617,512,128,DLMT,8,8,True,1,1,True,64,512,1,True,0.16898884290056115,512,64,2048,2048,True,True,False,128,True,1,False,512,False,16,16,2048,True,16,1,1,12,16,1,16,0.005323922700338883,35,0.17251641424229597,16,0.17075262857142856,8,8,1,True,128,128,12,2048,True,12,32,1,1
618,512,128,DLMT,8,8,True,1,16,False,64,128,1,True,0.17163861794138177,512,64,1,2048,True,False,False,128,True,1,False,64,False,1,8,2048,True,16,1,1,12,16,1,16,0.004485986324417088,35,0.17461098205861822,8,0.1731248,16,8,1,True,1,512,16,128,True,12,32,1,1
619,512,128,DLMT,8,8,True,1,64,False,64,512,1,False,0.1694010990150068,512,64,1,2048,True,True,False,128,True,1,False,64,True,1,8,512,True,16,1,1,12,16,1,16,0.006760110746224834,35,0.17388027241356466,1,0.17164068571428573,8,8,1,True,2048,2048,1,2048,True,12,32,1,1
620,512,128,DLMT,8,8,True,1,32,False,64,64,1,True,0.17229617191807087,512,64,1024,2048,True,True,False,128,True,1,False,2048,False,8,4,1,True,16,1,1,12,16,1,16,0.003939007171087346,35,0.17490611379621482,12,0.17360114285714284,8,8,1,True,2048,2048,16,512,True,12,32,1,1
621,512,128,DLMT,8,8,True,1,512,True,64,128,1,True,0.16911306033419185,512,64,2048,2048,True,True,False,128,True,1,False,1,True,1,4,512,True,16,1,1,12,16,1,16,0.008049111424859015,35,0.17444631109437955,16,0.1717796857142857,1,8,1,True,256,2048,12,1,True,12,32,1,1
622,512,2048,DLMT,8,1,True,1,32,True,256,32,1,True,0.40657724566325026,32,32,512,1,True,True,True,32,False,512,False,1024,True,1,4,512,True,12,1,1,12,12,1,1,0.006214274857133376,35,0.41069475433674985,16,0.40863600000000005,8,1,1,True,128,1,8,64,False,1,1,8,12
623,32,2048,DLMT,8,32,False,1,1,False,64,1,1,False,0.26631004909163863,128,16,2048,1,False,False,True,256,True,16,True,1,False,1,16,512,True,1,8,1,12,16,4,1,0.005389534033851242,35,0.26988109376550434,1,0.2680955714285715,8,1,32,True,1024,128,1,1024,True,1,1,32,4
624,64,2048,DLMT,8,1,True,32,256,False,256,256,1,True,0.3811918923179972,512,512,1,1,True,False,False,128,False,32,False,1,False,1,8,512,False,16,1,1,4,12,1,4,0.007776749473623936,35,0.38634467911057424,4,0.38376828571428573,4,1,1,True,512,1024,4,2048,False,1,32,1,16
